"Number of Registered Live Births by Sex and by Usual Residence of Mother (Region, Province and Highly Urbanized City), Philippines: January - December 2013-2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,
,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female,Both Sexes,Male,Female
..EASTERN SAMAR,6716,3530,3186,7067,3670,3397,7600,3973,3627,7464,3892,3572,6779,3539,3240,6644,3479,3165,6965,3602,3363,6254,3315,2939,6029,3162,2867,6745,3481,3264
..LEYTE,29567,15267,14300,31135,16308,14827,32912,17349,15563,31710,16662,15048,29117,15210,13907,28069,14725,13344,27675,14286,13389,24506,12742,11764,22929,11930,10999,24666,12736,11930
..NORTHERN SAMAR,8273,4252,4021,8575,4540,4035,9608,5038,4570,9697,5072,4625,8958,4675,4283,8176,4248,3928,8500,4446,4054,7667,4026,3641,7211,3734,3477,8407,4413,3994
..SAMAR,11338,5938,5400,12037,6329,5708,12736,6748,5988,12675,6652,6023,11642,6004,5638,11112,5656,5456,11856,6114,5742,9794,5127,4667,9795,5010,4785,12077,6326,5751
..SOUTHERN LEYTE,7010,3654,3356,6544,3379,3165,6331,3428,2903,5929,3116,2813,5843,3052,2791,5474,2944,2530,5323,2802,2521,4826,2488,2338,4418,2309,2109,4604,2391,2213
..CITY OF TACLOBAN,3427,1769,1658,4074,2065,2009,4150,2185,1965,3811,1970,1841,3963,2070,1893,3906,2079,1827,3989,2036,1953,3553,1891,1662,3379,1771,1608,3329,1710,1619
REGION IX (ZAMBOANGA PENINSULA),58106,30143,27963,60729,31960,28769,58109,30281,27828,63556,33192,30364,59169,31063,28106,60950,31872,29078,60502,31372,29130,51866,26856,25010,49684,25814,23870,56407,29150,27257
..ZAMBOANGA DEL NORTE,15490,8087,7403,15939,8375,7564,15786,8277,7509,16626,8722,7904,16461,8616,7845,15641,8140,7501,16292,8448,7844,14309,7301,7008,13614,7045,6569,15629,8057,7572
..ZAMBOANGA DEL SUR,16603,8568,8035,17157,9069,8088,17560,9143,8417,17586,9187,8399,17462,9157,8305,16742,8786,7956,16808,8572,8236,14846,7691,7155,14157,7373,6784,15343,8079,7264
..ZAMBOANGA SIBUGAY,9778,5141,4637,10664,5607,5057,10712,5541,5171,10958,5730,5228,10835,5706,5129,10360,5438,4922,9817,5066,4751,8166,4221,3945,8263,4346,3917,10439,5296,5143
..CITY OF ISABELA,828,428,400,250,130,120,300,158,142,1717,914,803,1652,846,806,1861,1012,849,1443,749,694,1119,629,490,1054,548,506,1271,652,619
..CITY OF ZAMBOANGA,15407,7919,7488,16719,8779,7940,13751,7162,6589,16669,8639,8030,12759,6738,6021,16346,8496,7850,16142,8537,7605,13426,7014,6412,12596,6502,6094,13725,7066,6659
REGION X (NORTHERN MINDANAO),87676,45678,41998,86143,44981,41162,87155,45628,41527,89359,46683,42676,89350,46778,42572,86986,45590,41396,88786,46341,42445,81001,42210,38791,75441,39388,36053,79433,41366,38067
..BUKIDNON,27331,14111,13220,28171,14548,13623,29543,15350,14193,31296,16419,14877,30396,15900,14496,29314,15359,13955,29578,15585,13993,27505,14320,13185,25974,13572,12402,27694,14413,13281
..CAMIGUIN,1913,1006,907,1789,962,827,1664,919,745,1657,879,778,1503,766,737,1444,741,703,1429,723,706,1405,740,665,1121,605,516,1091,524,567
..LANAO DEL NORTE,9677,5038,4639,9585,4907,4678,9537,5039,4498,9766,5025,4741,10390,5487,4903,10047,5264,4783,10488,5419,5069,8926,4615,4311,8522,4357,4165,9120,4794,4326
..MISAMIS OCCIDENTAL,11502,6034,5468,10053,5267,4786,10396,5429,4967,9952,5183,4769,10469,5521,4948,9953,5091,4862,10632,5557,5075,9651,5012,4639,8945,4604,4341,9791,5115,4676
..MISAMIS ORIENTAL,17501,9088,8413,16416,8726,7690,15891,8331,7560,16249,8391,7858,15488,8106,7382,15783,8357,7426,16296,8464,7832,15066,7861,7205,14090,7423,6667,14708,7596,7112
..CITY OF CAGAYAN DE ORO,13574,7134,6440,14133,7432,6701,14390,7572,6818,14507,7695,6812,15000,7795,7205,14471,7610,6861,14229,7413,6816,13128,6826,6302,11750,6169,5581,11850,6190,5660
..CITY OF ILIGAN,6178,3267,2911,5996,3139,2857,5734,2988,2746,5932,3091,2841,6104,3203,2901,5974,3168,2806,6134,3180,2954,5320,2836,2484,5039,2658,2381,5179,2734,2445
REGION XI (DAVAO REGION),82150,42948,39202,86463,45348,41115,90009,47209,42800,90828,47240,43588,87621,45902,41719,86261,44833,41428,85905,44959,40946,77716,40324,37392,69868,36419,33449,75087,39525,35562
..DAVAO DE ORO (COMPOSTELA VALLEY),12675,6710,5965,12963,6704,6259,13400,6968,6432,13782,7240,6542,13064,6774,6290,12748,6640,6108,12524,6514,6010,11534,6032,5502,11410,6028,5382,11897,6255,5642
